6001.98097369891  1.424175E-15
6005.02238388358  1.450273E-15
6008.06379406825  1.437995E-15
6011.10520425291  1.424816E-15
6014.14661443758  1.435552E-15
6017.18802462225  1.444166E-15
6020.22943480691  1.451921E-15
6023.27084499158  1.459563E-15
6026.31225517625  1.473531E-15
6029.35366536092  1.415832E-15
6032.39507554558  1.361334E-15
6035.43648573025  1.417681E-15
6038.47789591492  1.393041E-15
6041.51930609958  1.372121E-15
6044.56071628425  1.354133E-15
6047.60212646892  1.370452E-15
6050.64353665358  1.422254E-15
6053.68494683825  1.334615E-15
6056.72635702292  1.286243E-15
6059.76776720758  1.316169E-15
6062.80917739225  1.318864E-15
6065.85058757692  1.328138E-15
6068.89199776159  1.295099E-15
6071.93340794625  1.327597E-15
6074.97481813092  1.327330E-15
6078.01622831559  1.360395E-15
6081.05763850025  1.374058E-15
6084.09904868492  1.346352E-15
6087.14045886959  1.361526E-15
6090.18186905426  1.342488E-15
6093.22327923892  1.323446E-15
6096.26468942359  1.304404E-15
6099.30609960826  1.285362E-15
6102.34750979292  1.266321E-15
6105.38891997759  1.336988E-15
6108.43033016226  1.248350E-15
6111.47174034693  1.249914E-15
